Onnett_id;Osall_id;Osnro;Oslaji;Oslajisel;Peräv;Perävsel;Ajolaji;Ajolajisel;Ajoneuvika;Ajoneuvmas
6656158;11605910;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;6;1665
6656158;11605911;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;1;1898
6685811;11605912;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;11;1170
6685811;11605913;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;6;1278
6714277;11605923;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;8;2125
6714277;11605924;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;7;1065
6544555;11605930;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;4;1054
6544555;11605931;2;21;moottoripyörä;-1;Ei arvoa;-1;Ei arvoa;14;220
6736027;11605932;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;12;1653
6736027;11605933;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;12;1680
6736027;11605934;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;14;1260
6681909;11605935;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;895
6681909;11605936;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;24;1890
6712332;11605937;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1435
6712332;11605938;2;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;8;1860
6712504;11605939;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;8;1880
6712504;11605940;2;33;linja-auto;-1;Ei arvoa;-1;Ei arvoa;9;3180
6578137;11605942;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1526
6716315;11605944;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
6716315;11605945;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;10;1135
6685792;11605946;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;0;1120
6656139;11606171;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1110
6656139;11606172;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;5;1503
6685795;11606175;1;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;2;96
6685795;11606176;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;9;1195
6685796;11606177;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;7;1475
6685796;11606178;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;1;1455
6688676;11606179;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1090
6685781;11606186;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1519
6685781;11606187;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;11;1695
6656125;11606189;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;3;1835
6656125;11606190;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;6;1950
6740639;11606205;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;5;1890
6740639;11606206;2;10;jalankulkija;-1;Ei arvoa;-1;Ei arvoa;;
6716327;11606207;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;0;1971
6716327;11606208;2;32;kuorma-auto;-1;Ei arvoa;-1;Ei arvoa;17;4050
6735954;11606209;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1235
6740640;11606210;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;8;1692
6740640;11606211;2;11;polkupyöräilijä;-1;Ei arvoa;-1;Ei arvoa;;
6740641;11606212;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;2;1941
6740641;11606213;2;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;1;107
6620386;11606214;1;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;4;85
6688690;11606229;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
6688690;11606230;2;11;polkupyöräilijä;-1;Ei arvoa;-1;Ei arvoa;;
6681947;11606231;1;32;kuorma-auto;1;puoliperävaunu;1;ammattimaisessa ajossa;1;8480
6681947;11606232;2;32;kuorma-auto;1;puoliperävaunu;1;ammattimaisessa ajossa;5;9090
6660551;11606233;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;4;1830
6685868;11606238;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;15;1860
6681802;11606452;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;11;1210
6695584;11606453;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1065
6681804;11606454;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1130
6695741;11606457;1;32;kuorma-auto;2;varsinainen perävaunu;-1;Ei arvoa;13;12300
6736040;11606458;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1040
6736040;11606459;2;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;15;1860
6736002;11606462;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;;
6736002;11606463;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;1;1499
6736002;11606464;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;14;955
6664632;11606465;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1735
6664632;11606466;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;4;1452
6656202;11606467;1;43;muu moottorikäyttöinen ajoneuvo;-1;Ei arvoa;-1;Ei arvoa;7;316
6660501;11606468;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;9;1388
6660501;11606469;2;11;polkupyöräilijä;-1;Ei arvoa;-1;Ei arvoa;;
6688709;11606470;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1115
6688709;11606471;2;32;kuorma-auto;2;varsinainen perävaunu;-1;Ei arvoa;9;7500
6631734;11606476;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;9;1280
6631734;11606477;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
6695844;11606478;1;32;kuorma-auto;-1;Ei arvoa;1;ammattimaisessa ajossa;3;11700
6695844;11606479;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
6761172;11606487;1;32;kuorma-auto;2;varsinainen perävaunu;-1;Ei arvoa;10;8700
6761172;11606488;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1265
6789115;11606489;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;16;1130
